ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
06,CALIFORNIA,CA,Alameda,06001,"Alameda County, California",739.092969318478,1605217.0,0.0,592796.0,480.0,564293.0,1576.0,189590.0,3738.0,61327.0,1656.0,39042.0,316.0,141393.0,2756.0,199699.0,0.0,344212.0,0.0,152814.0,2296.0,44370.0,1270.8,1081420.0,541.0,135883.0,2821.0,125573.0,1726.5,7134.0,467.0,39111.0,1119.8,56950.0,1397.0,33004.0,1275.0,12.0,0.2,7.1,0.2,39042.0,316.0,12.7,0.2,12.4,0.0,21.4,0.0,9.6,0.1,7.9,0.2,67.4,0.0,9.0,0.2,21.2,0.3,1.2,0.1,6.9,0.2,10.1,0.2,2.1,0.1,0.2456,0.2281,0.0877,0.386,0.9474,0.193,0.2807,0.4035,0.1228,0.3509,1.1579,0.0702,0.8772,0.6491,1.5263,0.7719,0.9474,0.0351,0.6491,0.9649,0.4561,3.0526,0.807,6.6842,0.4035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,133234.0,3679.0,8.4,0.2,1660258.0
06,CALIFORNIA,CA,Alpine,06003,"Alpine County, California",738.340010186566,1184.0,191.0,1771.0,43.0,343.0,69.0,221.0,72.0,55.0,42.0,26783.0,5636.0,70.0,34.0,246.0,82.0,274.0,70.0,277.0,89.0,15.0,17.5,380.0,251.7,11.0,45.1,436.0,78.5,22.0,17.0,6.0,6.7,14.0,10.0,37.0,23.0,18.9,5.0,11.8,7.7,26783.0,5636.0,8.9,3.7,20.8,5.9,23.1,4.6,23.4,5.8,4.4,5.0,32.1,20.6,1.0,4.0,24.6,4.4,1.2,1.0,1.7,1.9,4.1,2.7,3.1,1.9,0.6667,0.8246,0.5263,0.0877,2.1053,0.5614,0.807,0.6316,0.9825,0.0351,2.4561,0.7895,0.3333,0.0702,0.4035,0.2105,0.9649,0.0351,0.0702,0.1404,0.7193,1.9298,0.193,6.8947,0.4737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,175.0,81.0,14.8,5.9,1123.0
06,CALIFORNIA,CA,Amador,06005,"Amador County, California",594.571433560752,36963.0,0.0,18203.0,169.0,14248.0,470.0,3684.0,577.0,1677.0,381.0,27496.0,1320.0,3351.0,378.0,9142.0,81.0,5745.0,33.0,6302.0,575.0,1020.0,208.0,7527.0,7.0,570.0,194.3,505.0,144.6,1154.0,182.0,262.0,108.9,539.0,129.0,3981.0,350.0,11.2,1.7,11.6,2.5,27496.0,1320.0,11.7,1.3,24.7,0.2,15.5,0.1,19.1,1.8,7.2,1.4,20.4,0.0,1.6,0.5,2.8,0.8,6.3,1.0,1.8,0.8,3.8,0.9,10.8,0.9,0.193,0.7544,0.5088,0.3158,1.7719,0.4561,0.9298,0.0351,0.8246,0.2807,2.0702,0.5263,0.1404,0.1579,0.2982,0.1404,0.1754,0.5088,0.1053,0.0526,0.9474,1.7894999999999999,0.1404,5.9298,0.2105,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2323.0,417.0,7.0,1.3,34510.0
06,CALIFORNIA,CA,Butte,06007,"Butte County, California",1636.463729578986,223877.0,0.0,97513.0,307.0,85505.0,991.0,46456.0,1935.0,10933.0,901.0,25077.0,550.0,16950.0,848.0,38145.0,49.0,45472.0,102.0,38196.0,1357.0,6728.0,568.5,59479.0,199.0,5233.0,503.9,7684.0,537.6,12336.0,570.0,2515.0,342.5,5978.0,588.0,5691.0,773.0,21.3,0.9,10.7,0.8,25077.0,550.0,11.7,0.6,17.0,0.1,20.3,0.0,17.2,0.6,7.9,0.7,26.6,0.1,2.5,0.2,7.9,0.6,12.7,0.6,2.9,0.4,7.0,0.7,2.5,0.3,0.807,0.6491,0.614,0.3158,2.386,0.6491,0.6316,0.2807,0.7193,0.3684,2.0,0.4211,0.2456,0.2807,0.5263,0.2632,0.5789,0.8772,0.2456,0.7018,0.614,3.0175,0.7368,7.9298,0.614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23714.0,1542.0,10.7,0.7,224926.0
06,CALIFORNIA,CA,Calaveras,06009,"Calaveras County, California",1020.012307649068,44787.0,0.0,28104.0,79.0,17713.0,499.0,5641.0,870.0,1758.0,321.0,30577.0,1558.0,3248.0,415.0,11245.0,211.0,8042.0,104.0,8986.0,678.0,1110.0,239.8,7930.0,54.0,277.0,145.3,381.0,118.8,1996.0,304.0,352.0,119.9,711.0,169.0,516.0,158.0,12.7,2.0,9.6,1.7,30577.0,1558.0,9.6,1.2,25.1,0.5,18.0,0.2,20.2,1.5,6.3,1.3,17.7,0.1,0.6,0.3,1.4,0.4,7.1,1.1,2.0,0.7,4.0,1.0,1.2,0.4,0.3158,0.4912,0.3509,0.1228,1.2807,0.2807,0.9825,0.1579,0.8947,0.1579,2.193,0.5965,0.0702,0.0,0.0702,0.0,0.0351,0.614,0.1404,0.1053,0.1404,1.0351,0.0175,4.5789,0.0877,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3667.0,555.0,8.3,1.3,34700.0
06,CALIFORNIA,CA,Colusa,06011,"Colusa County, California",1150.727882223214,21361.0,0.0,7939.0,52.0,6962.0,200.0,2859.0,561.0,871.0,205.0,25745.0,2444.0,4278.0,384.0,2780.0,55.0,5936.0,76.0,2665.0,285.0,855.0,186.4,13480.0,22.0,2893.0,360.9,306.0,100.4,518.0,108.0,562.0,136.5,277.0,81.0,221.0,96.0,13.5,2.6,8.7,2.0,25745.0,2444.0,31.9,2.9,13.0,0.3,27.8,0.4,12.6,1.3,12.3,2.7,63.1,0.1,14.6,1.8,3.9,1.3,6.5,1.4,8.1,1.9,4.0,1.2,1.0,0.4,0.3684,0.386,0.5614,0.9825,2.2982,0.6316,0.3509,0.8596,0.4912,0.8772,2.5789,0.8596,0.7544,0.9474,1.7018,0.8772,0.3158,0.5614,0.7719,0.1053,0.0702,1.8246,0.1579,8.4035,0.6491,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3296.0,399.0,15.6,1.9,22147.0
06,CALIFORNIA,CA,Contra Costa,06013,"Contra Costa County, California",722.756231919232,1107925.0,0.0,406803.0,276.0,387540.0,1199.0,111922.0,3782.0,43374.0,1846.0,40792.0,386.0,82371.0,2183.0,157363.0,76.0,260665.0,0.0,121691.0,2434.0,31684.0,1330.2,603133.0,632.0,69034.0,2175.7,49726.0,1410.4,6744.0,494.0,17893.0,978.0,22860.0,1048.0,10307.0,648.0,10.2,0.3,7.7,0.3,40792.0,386.0,10.9,0.3,14.2,0.1,23.5,0.0,11.0,0.2,8.2,0.3,54.4,0.1,6.6,0.2,12.2,0.3,1.7,0.1,4.6,0.3,5.9,0.3,0.9,0.1,0.1228,0.2982,0.0702,0.2281,0.7193,0.0702,0.4912,0.6491,0.2807,0.4561,1.8772,0.4035,0.6316,0.4737,1.1053,0.5439,0.7719,0.1053,0.4211,0.4561,0.0175,1.7719,0.1053,5.4737,0.1404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93620.0,3142.0,8.5,0.3,971147.0
06,CALIFORNIA,CA,Del Norte,06015,"Del Norte County, California",1006.220505984134,27628.0,0.0,11326.0,100.0,9443.0,359.0,5219.0,655.0,1041.0,265.0,20282.0,1417.0,3461.0,318.0,4222.0,91.0,5855.0,0.0,5423.0,463.0,1037.0,222.5,10201.0,46.0,537.0,162.2,387.0,133.3,2043.0,235.0,378.0,111.7,961.0,196.0,3523.0,252.0,21.7,2.7,10.4,2.6,20282.0,1417.0,17.8,1.6,15.3,0.3,21.2,0.0,22.5,2.0,11.0,2.3,36.9,0.2,2.1,0.6,3.4,1.2,18.0,2.1,4.0,1.2,10.2,2.0,12.8,0.9,0.8596,0.614,0.8947,0.6491,3.0175,0.7895,0.5789,0.386,0.9649,0.7018,2.6316,0.9298,0.4386,0.2456,0.6842,0.3684,0.2105,0.9123,0.386,0.9825,0.9825,3.4737,0.9649,9.807,0.8772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,4.0,2605.0,444.0,10.8,1.8,26136.0
06,CALIFORNIA,CA,El Dorado,06017,"El Dorado County, California",1707.864074363226,183000.0,0.0,88882.0,131.0,67528.0,668.0,17839.0,1389.0,8506.0,691.0,37089.0,897.0,9608.0,888.0,32711.0,83.0,38406.0,115.0,24007.0,957.0,4335.0,453.4,38931.0,183.0,3406.0,507.4,3835.0,364.3,4337.0,411.0,1415.0,257.7,3193.0,488.0,1772.0,299.0,9.8,0.8,9.6,0.8,37089.0,897.0,7.4,0.7,17.9,0.1,21.0,0.1,13.2,0.5,6.4,0.7,21.3,0.1,2.0,0.3,4.3,0.4,4.9,0.5,2.1,0.4,4.7,0.7,1.0,0.2,0.1053,0.4912,0.1404,0.0526,0.7895,0.1228,0.6842,0.3684,0.5439,0.1754,1.7719,0.3333,0.1579,0.2105,0.3684,0.1579,0.3684,0.3509,0.1754,0.2281,0.0351,1.1579,0.0526,4.0877,0.0526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13912.0,1058.0,7.6,0.6,156309.0
06,CALIFORNIA,CA,Fresno,06019,"Fresno County, California",5958.78060837103,963160.0,0.0,323857.0,265.0,299456.0,1243.0,254872.0,6132.0,51478.0,1799.0,21057.0,229.0,151875.0,2686.0,107925.0,58.0,278246.0,0.0,118801.0,2668.0,46129.0,1531.0,666895.0,480.0,109480.0,2688.2,24016.0,1072.7,12601.0,719.0,28320.0,986.7,27398.0,1066.0,17324.0,750.0,26.9,0.6,11.9,0.4,21057.0,229.0,26.2,0.5,11.2,0.1,28.9,0.0,12.5,0.3,15.4,0.5,69.2,0.0,12.4,0.3,7.4,0.3,3.9,0.2,9.5,0.3,9.1,0.3,1.8,0.1,0.9825,0.8596,0.8596,0.8421,3.5439,0.9474,0.0877,0.9474,0.4737,0.9649,2.4737,0.807,0.9123,0.8772,1.7894999999999999,0.9123,0.5614,0.2632,0.9123,0.9298,0.4035,3.0702,0.8421,10.8772,0.9649,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,134940.0,3491.0,14.2,0.4,985513.0
