COUNTY,AQI,YEARS,CURRENT PREVALENCE,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,Fire_Count,GIS_ACRES
Alpine,32.791666666666664,2016,9.3,0.5614,0.7895,0.2105,0.193,0.4737,1,649.876
Amador,40.99180327868852,2016,9.3,0.4561,0.5263,0.1404,0.1404,0.2105,8,773.1811
Butte,60.44535519125685,2016,9.4,0.6491,0.4211,0.2632,0.7368,0.614,6,1640.2214999999999
Calaveras,54.128415300546436,2016,9.3,0.2807,0.5965,0,0.0175,0.0877,11,1343.9121999999998
El Dorado,59.83333333333336,2016,12.1,0.1228,0.3333,0.1579,0.0526,0.0526,4,5894.238600000001
Fresno,84.2295081967213,2016,11.3,0.9474,0.807,0.9123,0.8421,0.9649,18,16393.7653
Glenn,47.68232044198897,2016,7.3,0.807,0.9649,0.6316,0.5439,0.8596,1,1.59758
Humboldt,40.855191256830594,2016,12.5,0.5263,0.4912,0.193,0.6667,0.5263,5,682.6810700000002
Inyo,56.83060109289619,2016,9.3,0.2281,0.6667,0.386,0.8246,0.4912,5,1920.9772
Kern,86.58469945355193,2016,16.7,0.9298,0.614,0.8596,0.9298,0.9298,32,80102.46433800003
Lake,33.83287671232877,2016,17.3,0.8947,0.9825,0.2807,0.4912,0.7895,9,4280.170500000001
Los Angeles,88.08469945355195,2016,7.8,0.614,0.193,0.9649,0.9123,0.7368,34,48786.20603060001
Madera,69.39344262295084,2016,10.3,0.8246,0.8421,0.8947,0.7544,0.9123,5,1289.8673
Marin,38.30054644808744,2016,6.8,0,0.1228,0.3333,0.3684,0.0702,2,1.194435
Mariposa,55.97814207650275,2016,9.3,0.4386,0.4737,0.1053,0.2281,0.2456,27,1154.1480786000006
Mendocino,40.3653846153846,2016,9.3,0.6667,0.7368,0.4035,0.7895,0.6842,3,100.10539999999999
Merced,63.73497267759564,2016,10.3,0.9825,0.9474,0.9298,0.6842,0.9825,3,1386.7921
Mono,125.02459016393446,2016,9.3,0.2982,0,0.4561,0.2982,0.1228,5,9054.8419
Monterey,43.23497267759565,2016,8.8,0.5965,0.2632,0.9474,0.8596,0.7193,12,185334.60290000003
Napa,45.21584699453555,2016,NA,0.1404,0.2982,0.5614,0.614,0.3333,3,5788.2198
Nevada,56.666666666666636,2016,6.2,0.1754,0.2456,0.0877,0.0702,0.0351,3,72.4144
Orange,62.10109289617486,2016,6.7,0.2456,0.1579,0.7368,0.386,0.2807,9,478.46580000000006
Placer,53.91803278688523,2016,8.4,0.0351,0.3509,0.2281,0.0351,0.0175,9,5967.162030000001
Plumas,46.59718309859153,2016,7.2,0.3509,0.5088,0.0351,0.1754,0.1754,2,260.5727
Riverside,95.02185792349728,2016,10.2,0.7018,0.5439,0.6491,0.5263,0.6667,7,1776.75989
Sacramento,63.37704918032785,2016,9.6,0.5789,0.6316,0.5088,0.4386,0.5965,5,536.33137
San Benito,42.63661202185794,2016,5.3,0.5088,0.2807,0.7018,0.0877,0.386,5,446.5764
San Bernardino,99.40163934426236,2016,10.6,0.7544,0.4561,0.7895,0.7018,0.807,8,45387.2187
San Diego,73.89890710382511,2016,7.1,0.3333,0.1754,0.5263,0.6491,0.4211,11,9166.039240000002
San Luis Obispo,57.80327868852457,2016,5.9,0.1579,0.1404,0.3158,0.5965,0.1579,13,48684.46410000001
Santa Barbara,52.60928961748635,2016,6.2,0.4035,0.2281,0.7018,0.9825,0.6316,6,53022.8604
Santa Clara,48.644808743169406,2016,6,0.0526,0.0351,0.8246,0.5789,0.2281,3,4682.83
Santa Cruz,37.202185792349724,2016,11.3,0.3158,0.0877,0.4737,0.7719,0.3684,1,4474.12
Shasta,46.95355191256832,2016,7.3,0.386,0.7544,0.1228,0.4737,0.4561,4,458.0529
Siskiyou,28.61325966850829,2016,7.2,0.7193,0.7018,0.1754,0.4211,0.5789,15,36781.448133900005
Solano,47.590163934426215,2016,13.3,0.3684,0.5789,0.5789,0.3333,0.5088,1,58.7602
Sonoma,35.96994535519125,2016,8.1,0.2105,0.3158,0.4211,0.2632,0.193,2,1561.2415
Stanislaus,67.04918032786887,2016,13.4,0.8421,0.7719,0.6842,0.2807,0.7719,4,241.65349999999998
Sutter,62.773224043715864,2016,8.1,0.7368,0.8596,0.614,0.3509,0.7018,1,315.76
Tehama,55.98907103825138,2016,7.3,0.8596,1,0.3333,0.4035,0.7544,14,1115.1454600000002
Trinity,50.71257485029939,2016,7.2,0.5439,0.8947,0,0.2105,0.4386,2,29.642680000000002
Tulare,87.07650273224044,2016,8.6,0.9649,0.7193,0.9649,0.4561,0.8947,10,42330.78396
Tuolumne,56.717514124293814,2016,9.3,0.4211,0.4386,0.0702,0.5088,0.3158,10,1228.2553687999998
Ventura,58.625683060109296,2016,6.7,0.2632,0.386,0.6491,0.2456,0.3509,15,2511.425887
Yolo,45.59016393442622,2016,6.6,0.4912,0.1053,0.4912,0.8947,0.5439,3,5978.9709
Alameda,62.64383561643838,2018,8.8,0.1754,0.0702,0.7544,0.8421,0.3684,2,702.3484
Amador,43.41758241758242,2018,13.6,0.386,0.5088,0.1228,0.4211,0.2807,1,824.978
Butte,73.16164383561649,2018,11,0.6491,0.5789,0.2632,0.8596,0.614,6,155142.31979999997
Calaveras,63.28846153846156,2018,13.6,0.2632,0.7368,0.0351,0,0.1053,7,12295.98925
Colusa,56.052054794520544,2018,11.8,0.5439,0.8246,0.8947,0.1228,0.6316,2,425398.9
Contra Costa,59.81643835616441,2018,11.8,0.1053,0.4211,0.5614,0.1053,0.1754,1,247.05
Del Norte,33.95555555555556,2018,13.2,0.8421,0.8596,0.2982,0.9825,0.8772,2,38122.737890000004
El Dorado,58.08493150684932,2018,6.7,0.0877,0.2982,0.1579,0.0351,0.0351,5,594.4578
Fresno,82.30410958904109,2018,13.3,0.9298,0.7719,0.9123,0.7368,0.9298,16,2258.12242
Glenn,46.17906336088153,2018,11.8,0.7719,0.9298,0.5965,0.1404,0.6842,4,412651.0924
Humboldt,39.271232876712325,2018,11.6,0.614,0.5789,0.2105,0.7895,0.5965,6,4038.0772400000005
Inyo,62.42465753424658,2018,13.6,0.2807,0.4737,0.386,0.6842,0.386,3,6271.969999999999
Kern,90.6958904109589,2018,9.9,0.9474,0.6316,0.8596,0.9298,0.9649,23,4867.580055
Kings,75.65479452054794,2018,10.3,0.9123,0.6667,0.8421,0.8947,0.8947,2,73.3264
Lake,34.72268907563026,2018,9.6,0.8246,0.9825,0.3333,0.4737,0.7193,9,474659.97505999997
Los Angeles,87.57260273972601,2018,7.9,0.5789,0.2281,0.9649,0.9474,0.7719,27,95053.04197179999
Madera,64.65753424657535,2018,11.8,0.8947,0.807,0.8772,0.7018,0.9123,4,14299.7961
Marin,48.479452054794535,2018,6.4,0,0.1228,0.3509,0.3333,0.0877,1,1.35455
Mariposa,68.7342465753424,2018,13.6,0.4561,0.4386,0.1053,0.2281,0.2456,6,101953.16059999999
Mendocino,51.24725274725272,2018,5.3,0.7018,0.9298,0.4211,0.6491,0.7018,3,460061.684
Merced,65.17260273972602,2018,9.8,0.9825,0.8947,0.9298,0.7544,0.9825,3,6305.05504
Mono,45.87671232876714,2018,13.6,0.1754,0,0.4035,0.1579,0.0702,4,7729.0035
Monterey,44.545205479452044,2018,5.3,0.5614,0.3333,0.9298,0.807,0.7368,8,3859.8578
Napa,50.373626373626365,2018,13.8,0.1579,0.2982,0.5263,0.6316,0.3333,8,92581.12391000001
Nevada,55.1460055096419,2018,9.4,0.2105,0.386,0.0526,0.0526,0.0526,1,8.58183
Orange,59.57808219178082,2018,5.7,0.2982,0.1579,0.7193,0.386,0.3158,21,23369.998722730008
Placer,54.12876712328771,2018,7.9,0.0175,0.2807,0.2105,0.0175,0.0175,8,1947.2583600000003
Plumas,49.80857142857142,2018,13.2,0.2456,0.4737,0.0526,0.1754,0.1404,5,153822.03809999998
Riverside,95.22739726027393,2018,9.1,0.6667,0.5263,0.6491,0.4386,0.6491,10,38612.512500000004
Sacramento,68.73424657534247,2018,11.4,0.4912,0.5614,0.5263,0.4561,0.5614,4,399.6909
San Benito,46.21917808219179,2018,NA,0.4561,0.3684,0.7368,0.0877,0.3509,9,2715.2127000000005
San Bernardino,100.40821917808222,2018,9.6,0.7895,0.4561,0.7719,0.7193,0.8246,8,1760.6184
San Diego,71.84931506849314,2018,8.5,0.3684,0.1754,0.5088,0.6667,0.4211,16,1506.9213499000002
San Joaquin,68.20547945205482,2018,12.6,0.7368,0.6842,0.7719,0.5614,0.7895,2,11823.2354
San Luis Obispo,55.30136986301368,2018,5.4,0.1404,0.193,0.3158,0.4912,0.1579,19,1527.552645
Santa Barbara,52.205479452054796,2018,NA,0.4386,0.2632,0.7018,0.9649,0.6667,9,1990.9919999999997
Santa Clara,56.63287671232882,2018,9.5,0.0526,0.0351,0.7719,0.5789,0.2281,2,441.748
Santa Cruz,44.673972602739745,2018,8.3,0.4035,0.1053,0.4912,0.7719,0.4561,2,24.66638
Shasta,51.46849315068493,2018,6.9,0.4211,0.7895,0.1404,0.5263,0.4737,15,343557.12971
Siskiyou,55.73150684931512,2018,13.2,0.5263,0.7544,0.1754,0.3684,0.5088,18,76742.136143
Solano,53.66849315068491,2018,12.5,0.3509,0.614,0.5614,0.2456,0.4386,1,2158.43
Sonoma,44.00273972602741,2018,12.1,0.2281,0.2456,0.4386,0.2982,0.2105,2,13.895902999999999
Stanislaus,69.29863013698629,2018,8.1,0.8421,0.7018,0.6667,0.2632,0.7544,4,11905.5611
Sutter,67.45753424657536,2018,16,0.7895,0.9123,0.6842,0.4035,0.807,3,1355.5859
Tehama,55.558904109589015,2018,11.8,0.8772,1,0.3684,0.5439,0.8596,11,11618.557899999998
Trinity,55.948453608247426,2018,13.2,0.6316,0.8596,0.0175,0.2807,0.4912,5,295282.94299999997
Tulare,87.28219178082193,2018,9.5,0.9649,0.7018,0.9649,0.5965,0.9474,10,8439.74506
Tuolumne,48.879310344827566,2018,13.6,0.3333,0.386,0.0877,0.3158,0.193,10,134146.52434000003
Ventura,61.49589041095888,2018,6.6,0.3158,0.3509,0.6316,0.193,0.2982,62,94449.72630525996
Yolo,52.224657534246596,2018,11.3,0.5088,0.0526,0.4737,0.9123,0.5439,3,90665.4152
Alameda,57.161202185792376,2020,7.5,0.1053,0.0702,0.8596,0.8772,0.2807,1,396824
