COUNTY,AQI,YEARS,CURRENT PREVALENCE,95% CONFIDENCE INTERVAL,STCNTY,FIPS,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV150,E_UNEMP,E_HBURD,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_LIMENG,E_MINRTY,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,E_DAYPOP,E_NOINT,E_AFAM,E_HISP,E_ASIAN,E_AIAN,E_NHPI,E_TWOMORE,E_OTHERRACE,EP_NOINT,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,EP_NHPI,EP_TWOMORE,EP_OTHERRACE
Alameda,49.945205479452056,2022,9.6,(7.7-11.5),06001,06001,737.458876773714,1663823,622856,585818,231148,45290,137412,128786,66485,243239,332827,157897,27231,115693,1176371,142912,7216,43569,54476,34674,14.1,4.9,23.5,10.8,4,14.6,20,9.5,4.6,7.4,70.7,23,1.2,7.4,9.3,2.1,0.1053,0.1053,0.1579,0.3684,0.0702,0.8071,0.0877,0.2807,0.3333,0.0877,0.3333,0.5965,1.6315,0.0702,0.8421,0.8421,0.8421,0.9474,0.0351,0.7193,0.9825,0.4912,3.1755,0.8596,6.4562,0.2807,1716655,41240,165390,369603,530999,4870,12278,83622,9609,7,9.9,22.2,31.9,0.3,0.7,5,0.6
Amador,36.96703296703294,2022,13.9,(9.8-18.1),06005,06005,594.584366047242,40577,18813,15745,5543,1016,4638,3032,1817,10925,6244,6812,408,411,10184,696,1305,433,845,3050,14.8,6,29.5,9.5,4.8,26.9,15.4,18.1,2.5,1.1,25.1,3.7,6.9,2.7,5.4,7.5,0.1754,0.386,0.5439,0.2982,0.1579,1.5614,0.2632,0.8596,0.0351,0.8421,0.0175,0.1053,1.8596,0.1754,0.1754,0.1754,0.1754,0.2456,0.614,0.1754,0.5439,0.9298,2.5087,0.5088,6.1051,0.2281,39375,2060,668,6140,506,395,15,2182,278,13.1,1.6,15.1,1.2,1,0,5.4,0.7
Butte,52.89589041095889,2022,10.4,(7.3-13.6),06007,06007,1636.488965591808,213605,93069,83319,58898,7344,26926,13468,13966,38852,43011,34705,4138,5128,66604,8319,10285,3146,5063,6182,28.2,7.1,32.3,9.7,6.6,18.2,20.1,16.4,5,2.5,31.2,8.9,11.1,3.8,6.1,2.9,0.8421,0.5789,0.807,0.3158,0.4912,3.035,0.6491,0.5789,0.3684,0.7368,0.4386,0.2807,2.4034,0.4561,0.2632,0.2632,0.2632,0.614,0.807,0.2807,0.7193,0.6316,3.0526,0.807,8.7542,0.5965,210449,8412,3695,38361,10818,1514,605,10992,619,10.1,1.7,18,5.1,0.7,0.3,5.1,0.3
Calaveras,42.07967032967033,2022,13.9,(9.8-18.1),06009,06009,1020.01868837072,45674,27521,17198,9689,1150,5530,2637,2650,13155,7690,9660,546,254,9927,388,1799,342,355,502,21.4,6.2,32.2,7.4,5.8,28.8,16.8,21.3,3.2,0.6,21.7,1.4,6.5,2,2.1,1.1,0.4737,0.4211,0.7895,0.1579,0.2807,2.1229,0.4035,0.9298,0.0702,0.9825,0.0702,0,2.0527,0.2807,0.0877,0.0877,0.0877,0.0351,0.5439,0.0175,0,0.0877,0.6842,0,4.9475,0.0702,36233,2464,450,6197,896,372,37,1964,11,14.3,1,13.6,2,0.8,0.1,4.3,0
Colusa,45.10468319559228,2022,11.4,(7.5-15.3),06011,06011,1150.678727191492,21811,8107,7432,4883,773,2049,3747,1980,3299,5807,2841,597,2975,14508,176,500,384,340,230,22.6,7.4,27.6,26.7,9.1,15.1,26.6,13.1,8,14.6,66.5,2.2,6.2,5.1,4.6,1.1,0.5439,0.6316,0.3684,0.9474,0.8772,3.3685,0.7719,0.3509,0.8246,0.5789,0.8947,0.9649,3.614,0.9825,0.7368,0.7368,0.7368,0.0702,0.4912,0.4737,0.2807,0.0877,1.4035,0.1053,9.1228,0.6842,22793,1441,306,13280,127,153,23,577,42,19.4,1.4,60.9,0.6,0.7,0.1,2.6,0.2
Contra Costa,50.89041095890411,2022,11.1,(8.6-13.6),06013,06013,716.89599082121,1162648,424057,408537,155421,35616,91531,83135,53839,190307,258051,130100,23208,65143,690897,55461,6325,22857,20801,11454,13.5,5.8,22.4,10.3,4.7,16.4,22.2,11.2,5.7,5.9,59.4,13.1,1.5,5.6,5.1,1,0.0702,0.3158,0.1404,0.3333,0.1228,0.9825,0.1053,0.4737,0.6316,0.2281,0.5614,0.4912,2.386,0.4211,0.6316,0.6316,0.6316,0.7895,0.0702,0.5088,0.4386,0.0351,1.8422,0.1404,5.8423,0.1754,994505,21205,97612,306895,209562,1960,5405,62504,6959,5.2,8.4,26.4,18,0.2,0.5,5.4,0.6
Del Norte,29.89825581395349,2022,9,(3.4-14.6),06015,06015,1006.20105339317,27462,11103,9530,6351,662,2628,3305,1537,5261,5798,4860,425,425,10786,527,2243,282,698,2328,25.3,6.3,27.6,16.8,6.1,19.2,21.1,19.3,4.5,1.6,39.3,4.7,20.2,3,7.3,8.5,0.7018,0.4737,0.3684,0.6667,0.3333,2.5439,0.5263,0.614,0.4386,0.9474,0.2807,0.1754,2.4561,0.4737,0.4035,0.4035,0.4035,0.3684,0.9649,0.2105,0.8947,0.9474,3.3859,0.9298,8.7894,0.614,27228,971,730,5607,830,1749,79,1597,194,10.2,2.7,20.4,3,6.4,0.3,5.8,0.7
El Dorado,48.69589041095888,2022,10,(6.5-13.6),06017,06017,1707.840348009224,191713,93679,75190,26019,4244,18907,7420,7976,42605,37685,23444,2978,2279,46882,4157,5166,1719,2881,1901,13.7,4.6,25.1,5.3,4.2,22.2,19.7,12.3,3.9,1.2,24.5,4.4,5.5,2.3,3.8,1,0.0877,0.0877,0.2456,0.0526,0.1053,0.5789,0.0702,0.7368,0.2982,0.4211,0.1579,0.1228,1.7368,0.1053,0.1579,0.1579,0.1579,0.2807,0.4561,0.1228,0.1053,0.0351,1,0.0175,3.4736,0.0175,162103,6133,1248,25930,9446,661,308,8608,681,8.2,0.7,13.5,4.9,0.3,0.2,4.5,0.4
Fresno,75.96164383561643,2022,13.8,(11.3-16.3),06019,06019,5958.379845305886,1008280,339270,318322,304890,39943,106907,135775,71873,125708,282976,128292,27809,95429,732515,32723,13467,33593,23481,18690,30.8,8.6,33.6,21.7,7.2,12.5,28.1,12.9,8.7,10.2,72.6,9.7,4,10.5,7.4,1.9,0.9123,0.8596,0.9298,0.8421,0.6316,4.1754,0.9123,0.0877,0.9298,0.5439,0.9298,0.8246,3.3158,0.8947,0.9123,0.9123,0.9123,0.6316,0.2807,0.9474,0.9123,0.3509,3.1229,0.8421,11.5264,0.9474,1045165,46147,42216,546774,105291,4220,1539,28688,3787,14.5,4.2,54.2,10.4,0.4,0.2,2.8,0.4
Glenn,43.99166666666666,2022,11.4,(7.5-15.3),06021,06021,1313.966997764498,28657,10914,9742,7358,1040,2799,4100,3104,4835,7580,3599,427,2129,14434,1070,1471,401,347,250,25.9,7.7,28.7,22.2,10.9,16.9,26.5,12.7,4.4,8,50.4,9.8,13.5,4.1,3.6,0.9,0.7544,0.7544,0.4211,0.8596,0.9474,3.7369,0.8596,0.5263,0.807,0.4912,0.2281,0.6667,2.7193,0.6842,0.5088,0.5088,0.5088,0.6491,0.8947,0.3158,0.0877,0.0175,1.9648,0.193,8.9298,0.6667,25914,1367,72,12418,985,289,41,589,40,14,0.3,43.3,3.4,1,0.1,2.1,0.1
