COUNTY,AQI,YEARS,CURRENT PREVALENCE,95% CONFIDENCE INTERVAL,FIPS,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,E_UNINSUR,EP_UNINSUR,E_DAYPOP,n,GIS_ACRES,Year
Alpine,32.791666666666664,2016,9.3,(4.1-14.6),06003,738.340010186566,1184,1771,343,221,55,26783,70,246,274,277,15,380,11,436,22,6,14,37,18.9,11.8,26783,8.9,20.8,23.1,23.4,4.4,32.1,1,24.6,1.2,1.7,4.1,3.1,0.6667,0.8246,0.5263,0.0877,2.1053,0.5614,0.807,0.6316,0.9825,0.0351,2.4561,0.7895,0.3333,0.0702,0.4035,0.2105,0.9649,0.0351,0.0702,0.1404,0.7193,1.9298,0.193,6.8947,0.4737,175,14.8,1123,1,649.876,2016
Amador,40.99180327868852,2016,9.3,(4.1-14.6),06005,594.571433560752,36963,18203,14248,3684,1677,27496,3351,9142,5745,6302,1020,7527,570,505,1154,262,539,3981,11.2,11.6,27496,11.7,24.7,15.5,19.1,7.2,20.4,1.6,2.8,6.3,1.8,3.8,10.8,0.193,0.7544,0.5088,0.3158,1.7719,0.4561,0.9298,0.0351,0.8246,0.2807,2.0702,0.5263,0.1404,0.1579,0.2982,0.1404,0.1754,0.5088,0.1053,0.0526,0.9474,1.7895,0.1404,5.9298,0.2105,2323,7,34510,8,773.1811,2016
Butte,60.44535519125685,2016,9.4,(3.8-15.1),06007,1636.463729578986,223877,97513,85505,46456,10933,25077,16950,38145,45472,38196,6728,59479,5233,7684,12336,2515,5978,5691,21.3,10.7,25077,11.7,17,20.3,17.2,7.9,26.6,2.5,7.9,12.7,2.9,7,2.5,0.807,0.6491,0.614,0.3158,2.386,0.6491,0.6316,0.2807,0.7193,0.3684,2,0.4211,0.2456,0.2807,0.5263,0.2632,0.5789,0.8772,0.2456,0.7018,0.614,3.0175,0.7368,7.9298,0.614,23714,10.7,224926,6,1640.2214999999999,2016
Calaveras,54.128415300546436,2016,9.3,(4.1-14.6),06009,1020.012307649068,44787,28104,17713,5641,1758,30577,3248,11245,8042,8986,1110,7930,277,381,1996,352,711,516,12.7,9.6,30577,9.6,25.1,18,20.2,6.3,17.7,0.6,1.4,7.1,2,4,1.2,0.3158,0.4912,0.3509,0.1228,1.2807,0.2807,0.9825,0.1579,0.8947,0.1579,2.193,0.5965,0.0702,0,0.0702,0,0.0351,0.614,0.1404,0.1053,0.1404,1.0351,0.0175,4.5789,0.0877,3667,8.3,34700,11,1343.9121999999998,2016
El Dorado,59.83333333333336,2016,12.1,(2.9-21.2),06017,1707.864074363226,183000,88882,67528,17839,8506,37089,9608,32711,38406,24007,4335,38931,3406,3835,4337,1415,3193,1772,9.8,9.6,37089,7.4,17.9,21,13.2,6.4,21.3,2,4.3,4.9,2.1,4.7,1,0.1053,0.4912,0.1404,0.0526,0.7895,0.1228,0.6842,0.3684,0.5439,0.1754,1.7719,0.3333,0.1579,0.2105,0.3684,0.1579,0.3684,0.3509,0.1754,0.2281,0.0351,1.1579,0.0526,4.0877,0.0526,13912,7.6,156309,4,5894.238600000001,2016
Fresno,84.2295081967213,2016,11.3,(6.2-16.4),06019,5958.78060837103,963160,323857,299456,254872,51478,21057,151875,107925,278246,118801,46129,666895,109480,24016,12601,28320,27398,17324,26.9,11.9,21057,26.2,11.2,28.9,12.5,15.4,69.2,12.4,7.4,3.9,9.5,9.1,1.8,0.9825,0.8596,0.8596,0.8421,3.5439,0.9474,0.0877,0.9474,0.4737,0.9649,2.4737,0.807,0.9123,0.8772,1.7895,0.9123,0.5614,0.2632,0.9123,0.9298,0.4035,3.0702,0.8421,10.8772,0.9649,134940,14.2,985513,18,16393.7653,2016
Glenn,47.68232044198897,2016,7.3,(2.7-12.0),06021,1313.945405782352,27976,10905,9801,5578,1172,20362,4903,4073,7572,4898,997,13131,2761,502,1189,544,695,322,20.3,9.9,20362,27.5,14.6,27.1,17.7,10.2,46.9,10.6,4.6,10.9,5.6,7.1,1.2,0.7544,0.5439,0.8772,0.8947,3.0702,0.807,0.5439,0.7895,0.7368,0.6316,2.7018,0.9649,0.5088,0.807,1.3158,0.6316,0.4035,0.807,0.5263,0.7368,0.1228,2.5965,0.5439,9.6842,0.8596,4015,14.5,24490,1,1.59758,2016
Humboldt,40.855191256830594,2016,12.5,(3.4-21.6),06023,3567.965714034344,135182,62386,53689,27641,6228,24038,8794,20753,26399,22657,5231,33278,2230,2376,5196,2014,4094,4187,21,9.5,24038,9.7,15.4,19.5,16.9,9.7,24.6,1.7,3.8,8.3,3.8,7.6,3.1,0.7895,0.4737,0.6667,0.1404,2.0702,0.5263,0.5965,0.193,0.6667,0.5965,2.0526,0.4912,0.2105,0.1754,0.386,0.193,0.2807,0.6667,0.3684,0.7895,0.7018,2.807,0.6667,7.3158,0.5263,19266,14.4,130357,5,682.6810700000002,2016
Inyo,56.83060109289619,2016,9.3,(4.1-14.6),06027,10180.93383218731,18326,9513,7973,1905,555,28678,1526,3953,3772,2432,751,6593,451,419,2249,132,661,632,10.8,6.3,28678,11.5,21.6,20.6,13.6,9.4,36,2.6,4.4,23.6,1.7,8.3,3.4,0.1579,0.0877,0.4386,0.2982,0.9825,0.2281,0.8246,0.3333,0.5965,0.5614,2.3158,0.6667,0.4211,0.2982,0.7193,0.386,0.386,1,0.0351,0.9123,0.7368,3.0702,0.8246,7.0877,0.4912,1844,10.3,17898,5,1920.9772,2016
Kern,86.58469945355193,2016,16.7,(9.3-24.0),06029,8131.92187546124,871337,291292,262337,194354,44848,21094,136966,86042,256757,92686,36457,557354,84424,14159,21141,23862,18446,31615,23.1,11.9,21094,26.4,9.9,29.5,11,13.9,64,10.6,4.9,7.3,9.1,7,3.6,0.9123,0.8596,0.8421,0.8596,3.4737,0.9298,0.0175,0.9649,0.2807,0.9298,2.193,0.614,0.7895,0.7895,1.5789,0.8596,0.4211,0.6316,0.8772,0.7018,0.7544,3.386,0.9298,10.6316,0.9298,112428,13.3,870222,32,80102.46433800003,2016
